title,Rating,maincateg,actprice1
"2 Combo Shoes For Girls Stylish Lastest Fashion Casual Canvas Sneakers Sneakers For Women  (Grey, White)",4,Women,1499
Flip Flops,3.7,Men,499
Lace Up For Men  (Brown),4.6,Men,2751
jutties Jutis For Men  (Black),3.8,Men,499
Hush Berry Mens Loafer for Mens Casuals For Men  (Black),3.9,Men,1249
Casuals For Men  (Black),3.7,Men,999
Women Pink Flats Sandal,4,Women,999
For Women  (Pink),3.9,Women,1299
Combo Pack Of 2 Casual Shoes Loafers For Men  (Multicolor),3.9,Men,1299
Men Synthetic Leather Chappal (Brown) Slippers,3.6,Men,999
jutties Jutis For Men  (Black),3.7,Men,999
Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,1499
Party Wear+Official+Formal Shoes Lace Up For Men  (Black),3.8,Men,999
"1258-1259 casual shoe Casuals For Men  (Red, Black)",3.3,Men,998
Jutis For Women  (Pink),3.9,Women,599
Women's Brown Color Flip-Flops and House Slippers,4.1,Women,299
Flip Flops,3.7,Men,799
Men Hawaii Flip Flops,3.7,Men,499
Bellies For Women  (Black),3.9,Women,499
Men Brown Sandal,3.9,Men,1499
Training & Gym Shoes For Men  (Black),3.6,Men,999
Slides,4,Women,999
Bellies For Women  (Black),3.8,Women,499
Women Black Wedges Sandal,4,Women,499
Wmns Flex 2018 Rn Running Shoes For Women  (White),4.1,Women,7495
Boots For Women  (Tan),4.2,Women,1499
Ethics Men's Sports Shoes,3.3,Men,549
Nike Quest 3Men's Running Shoe Running Shoes For Men  (Black),4.4,Men,5995
Jutis For Men  (Tan),4.1,Men,799
Original Training & Gym Shoes For Men  (Brown),3.9,Men,1499
"Men Blue, Grey Sports Sandal",3.6,Men,1180
Men Blue Sandal,4,Men,699
casual for men sneaker shoes high top shoes stylish High Tops For Men  (Black),4.1,Men,999
High Ankle Boots For Men  (Tan),4.1,Men,999
Sports Mesh Running Shoes For Women  (Green),4,Women,899
Women Black Heels Sandal,4.2,Women,1199
Girls Stylish & Comfortable | Casual | Party Wear Boots For Women  (Black),4.2,Women,999
WILLY-2 Bellies For Women  (Red),,,499
Loafers For Men  (Green),4,Men,999
Men Multicolor Sports Sandal,,Men,699
Women Tan Flats Sandal,3.1,Women,999
KANEGGYE Casual Canvas Sneakers Shoes for Men,3.6,Men,399
Women Multicolor Wedges Sandal,3.7,Women,599
Jutis For Women  (Black),3.9,Women,499
"women's casual shoes combo pack of 2 Sneakers For Women  (Red, Blue)",3.9,Women,898
Men's Formal Lace Up Shoe Lace Up For Men  (Black),4.2,Men,699
ORIFWSH(c)-1044 Sneakers For Women  (Black),4,Women,499
Sneakers For Men  (Black),4,Men,999
"Women Off White, Brown Sports Sandal",4.3,Women,1348
Slides,,,999
High Ankle Denim Boots For Womens And girls Boots For Women Boots For Women  (Blue),4.2,Women,999
Women Loafers&Moccassins For Girls Loafers For Women  (Multicolor),4,Women,999
Women Black Heels Sandal,3.9,Women,999
Wink Duo GU2 IDP Flip Flops,,,1499
Slides,4.6,Men,499
Perfect Stylish Girls Casual Shoes Boots For Women   Boots For Women  (White),4,Women,842
Women Black Flats Sandal,4.1,Women,1890
COOL TRACTION XTREME LP Running Shoes For Women  (Green),4.2,Women,2599
Good Quality Boots More Comfortable And Light Weight Boots Boots For Women  (Black),4,Women,999
Boots For Women  (Blue),3.8,Women,1999
Boots For Women  (Black),4.4,Women,999
Women Silver Heels Sandal,3.5,Women,1199
SL-138 Casuals For Women  (White),4.1,Women,505
WoudLand By Zixer Exclusive Formal shoes for Men Slip On For Men  (White),3.9,Men,999
Women Brown Wedges Sandal,4.1,Women,999
Party Wear For Women  (Copper),4.2,Women,2199
AB1-SX00172L Casuals For Women  (White),4.3,Women,799
Casual Sneakers Hightop Shoes For Men  (Red),4.1,Men,999
"Casual sneakers,outdoors,dancingshoes Sneakers For Men  (Black)",3.8,Men,999
Slippers,4.4,Women,1199
Women Black Sports Sandal,4.3,Women,799
Women Blue Wedges Sandal,4,Women,1299
Slippers,4.5,Women,999
Bellies For Women  (Brown),4.3,Women,799
New Trendy Fashionable And Comfortable Sneakers For Women And Girls Sneakers For Women  (White),4.2,Women,999
Oxford For Men  (Tan),4.2,Men,6299
CLAIRE (Collector's Edition) Running Shoes For Women  (Purple),4.4,Women,1299
Women Grey Wedges Sandal,4.2,Women,999
Running Shoes For Men  (Multicolor),3.8,Men,1999
Men Black Sandal,3.8,Men,999
Women Red Wedges Sandal,3.8,Women,599
"Mojaris For Women  (Beige, Pink)",4.1,Women,499
Men Tan Flats Sandal,3.5,Men,999
Trendy stylish flexible comfortable classy popular Mojaris For Men  (Tan),4,Men,799
Flip Flops,4,Men,900
Casual Casuals For Men  (Blue),4,Men,999
Icon IDP Sneakers For Men  (Black),4.1,Men,3299
Men Beige Sandal,3.9,Men,1499
"Women Brown, Brown, Burgundy Wedges Sandal",4.2,Women,1249
Slides,3.9,Men,499
crocs Unisex's Ralen Clogs,4.3,Women,995
Men Brown Sandal,3.3,Men,1599
Women Brown Heels Sandal,3.9,Women,1249
Men's Ultraforce Mid-top Athletic-Inspired Retro Fashion Casual/outdoor Sneakers for Men-Tan Sneakers For Men  (Tan),3.9,Men,2499
Smash Badminton Shoes For Men  (Navy),4.2,Men,1990
Synthetic Leather Boots for Men Boots For Men  (Black),4.1,Men,1299
Women Grey Wedges Sandal,3.8,Women,599
Women Grey Heels Sandal,4.4,Women,1199
HONOR Running Shoes For Men  (Navy),4,Men,1699
Flip Flops,3.8,Men,999
"New style Sneakers For Men  (White, Black)",3.9,Men,499
Enzo Weave Wn s Running Shoes For Women  (Black),4.5,Women,5499
SCALE Slip On For Men Slip On For Men  (Brown),5,Men,833
Jutis For Women  (Off White),3.9,Women,499
Mojaris For Men Mojaris For Men  (Brown),4.7,Men,999
Ankle Length & High Ankle Length Boots For Women  (Black),3.7,Women,999
Men Grey Sandal,4.1,Men,778
GO RUN PURE Running Shoes For Women  (Blue),4.2,Women,5999
Men Black Sandal,3.8,Men,999
Leather Chelsea Boots For Men  (Tan),4.3,Men,8195
"Smart Casuals Canvas Shoes Combo pack of 2 Sneakers For Men  (Blue, Black, Grey)",4,Men,998
"Rich Look Formals Shoes ll Classy Formal Shoes For Men ll Party Shoes Lace Up For Men  (Blue, Navy)",4.2,Men,1299
Women Black Heels Sandal,3.8,Women,699
Bellies For Women  (Grey),4.1,Women,1499
Black Patent Leather Casual and Partywear Shoes Slip On For Men  (Black),3.4,Men,999
Boots For Women  (Blue),4.4,Women,999
Women Grey Wedges Sandal,4,Women,999
Women Off White Heels Sandal,3.9,Women,599
Women Black Wedges Sandal,3.7,Women,499
High Heel Matte design shoes for women Sneakers For Women  (Black),4.2,Women,999
COSTA Running Shoes For Men  (White),4.1,Men,1049
Flip Flops,3.9,Men,910
Party Wear For Men  (Silver),4.8,Men,999
Slip On For Men  (Brown),4.5,Men,1399
Bellies For Women  (Multicolor),3.7,Women,999
Boots For Women  (Maroon),4.5,Women,999
Women Silver Flats Sandal,3.9,Women,699
Synthetic Leather Casual Partywear High Tops For Women  (Green),4.1,Women,1399
Men Synthetic Leather Chappal (Sky) Flip Flops,4,Men,900
Slides,4,Women,999
Office Shoes Slip On For Men  (Black),3.9,Men,999
Rexine Punabi Jutis Jutis For Women  (Multicolor),2.5,Women,460
22473(Black)-B Walking Shoes For Men  (Black),3.8,Men,1499
women plan boots Boots For Women  (Black),3.5,Women,999
Women Multicolor Flats Sandal,3.7,Women,769
Men Black Sports Sandal,4.1,Men,1999
NK-01 Walking Shoes For Men  (Grey),3.7,Men,999
Training & Gym Shoes For Women  (Pink),4.4,Women,4499
Walking Shoes For Women  (White),4.2,Women,999
1712 Loafers For Men  (Blue),4.1,Men,999
Women Black Heels Sandal,4.3,Women,999
Ladies Multi-Print Punjabi Jutti Ethnic Mojari Jutis For Women  (Brown),4.1,Women,1895
Women Copper Heels Sandal,4.1,Women,499
"Men Blue, Grey Sports Sandal",3.6,Men,998
"sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men<U+FFFD> Running Shoes For Men  (Yellow)",4.1,Men,999
"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 2 Bellies For Women  (Multicolor)",4,Women,999
Women Beige Heels Sandal,3.9,Women,999
Sports Casual Running Shoes For Men  (White),3.9,Men,999
Navy Dangal Trendy Walking Running Shoes For Men  (Navy),3.9,Men,499
Escaper Core Running Shoe For Women  (Blue),4.2,Women,3499
Women Doctor Ortho Combo Pack Of 2 Pairs Of Slippers,3.9,Women,999
Jutis For Women  (Multicolor),3.8,Women,999
Slip On For Women  (Tan),4.6,Women,799
Slides,3.9,Men,499
W Flex Experience Rn 7 Running Shoes For Women  (Blue),4.4,Women,5295
"Latest Collection, Comfortable & Fashionable Shoes & Bellies for Women's and Girl's Pack of 2 Bellies For Women  (Multicolor)",3.8,Women,999
Slip On For Men  (Black),3.9,Men,999
Sports Mesh Running Shoes For Women  (Green),,,899
Sneakers For Women  (White),4.2,Women,999
"Women SL-126 Grey Pink Walking Shoes For Women  (Pink, Grey)",4.2,Women,949
172 Smart Mehndi Lace-Ups Casuals for Men Sneakers For Men Sneakers For Men  (Olive),4,Men,499
Handmade Velvet Ethnic Punjabi Rajasthani Jutti Slip On For Women  (White),3.8,Women,999
RC3499 Lace Up For Men  (Black),4.2,Men,3595
Women Grey Wedges Sandal,3.9,Women,999
Slippers,4.1,Women,1199
Boots For Women  (Black),3.5,Women,1199
Sneakers For Women  (White),4.2,Women,999
Men Grey Clogs Sandal,4,Men,4495
WISDOM Running Shoes For Men  (Grey),4.2,Men,1499
Women Bedroom Slipper Slippers,3.8,Women,699
AMD_LF_18 Slippers,4,Women,599
Ethnic Embroidery Jutis For Women  (Pink),4,Women,499
Golden Silk Sharwani Jutti Jutis For Men  (Gold),4.5,Men,699
TORMO SLIP ON Slip On For Men  (Black),4.1,Men,1299
"Men Black, Red Casual Sandal",3.8,Men,499
Men Tan Sandal,3.8,Men,999
Slippers,3.9,Women,3795
Sneakers For Women  (Multicolor),3.8,Women,2495
Women Tan Flats Sandal,4.2,Women,599
Jalsa Jutti For Men Jutis For Men  (Brown),2.8,Men,899
Women Black Heels Sandal,3.4,Women,999
Women Black Flats Sandal,4.1,Women,999
Slip On For Men  (Black),3.8,Men,1999
Women Black Bellies Sandal,4.1,Women,899
Slip On For Men  (Black),3.9,Men,999
Latest morpankh Design Rajasthani Belly Juti for Women and Girls Bellies For Women  (Black),4,Women,799
Jutis For Women  (Pink),4,Women,499
Bellies Jutis For Women  (Blue),3.8,Women,600
Lace Up For Women  (Black),3.2,Women,799
Nagra for Men ( Brown 09 ) Jutis For Men  (Brown),4.2,Men,999
Black & Beige Color Casual Men's Flip Flop (Pack of 2) Slippers,3.8,Men,1012
"Stylish Casual Sports Shoe Sneakers For Women  (White, Black)",4.2,Women,999
Women Black Wedges Sandal,3.8,Women,999
NRGY Neko Slip-On one8 Running Shoes For Men  (Black),4.2,Men,5999
"Riya-04 Grey Peach Sports Shoes,Gym Shoes,Casual Shoes,Walking Shoes, Running Shoes For Women  (Navy)",4.1,Women,539
Men Navy Sports Sandal,4,Men,2499
Running Shoes For Men Running Shoes For Men  (Green),3.8,Men,1299
"Running Shoes For Men  (Navy, Red)",4,Men,999
Women Blue Wedges Sandal,3.9,Women,1299
Men Brown Casual Sandal,4.1,Men,2695
Women Black Heels Sandal,4,Women,1599
Women Off White Wedges Sandal,4,Women,999
Shoes for Women Sneakers For Women  (Blue),4,Women,499
Women Beige Wedges Sandal,4.2,Women,999
Slides,3.6,Men,499
Women Grey Heels Sandal,3.9,Women,799
JESSICA Running Shoes For Women  (Black),4.2,Women,899
Jutis For Men  (Black),3.9,Men,499
Sneakers For Women  (Pink),4.2,Women,999
"Wndr,Cosko-13 Full Black Boys School Shoes,Running Shoes,Walking Shoes,Sports Shoes,Gym Shoes Running Shoes For Men  (Black)",4,Men,978
Slip On For Men  (Black),4.3,Men,6796
Flip Flops,3.8,Women,999
Lace Up For Men  (Black),3.9,Men,999
Running Shoes For Men  (Blue),4.1,Men,1499
"Stoker.18 Badminton Shoes For Women  (Black, Grey)",4.2,Women,4999
Black Jalsa Nagra Jutti Mojaris casual loafer Mocassin Mojaris For Men  (Black),,,499
Flip Flops,3.7,Women,499
Freak Slip on IDP Walking Shoes For Men  (Grey),4.3,Men,3299
Bellies For Women  (Black),3.9,Women,499
"Men Black, Grey Sports Sandal",4.3,Men,1499
STYLISH-RED Sneakers For Men  (Red),3.9,Men,499
"Jutis For Women  (White, Gold)",4,Women,499
RC3527 003 Derby For Men  (Brown),4,Men,4299
Pink Bellies For Women  (Pink),4.2,Women,999
Shoes for Women Sneakers For Women  (Blue),4,Women,373
Treadfit Heartbeat Sneakers Casual Water Resistant Shoes Sneakers For Men  (White),3.9,Men,999
Women Black Heels Sandal,4.2,Women,799
Amazon Brand - Inkast Denim Co. Men's Canvas Sneakers,4.3,Men,499
"Walking Shoes,Gym Shoes,Canvas Shoes,Sports Shoes,Training Shoes, Running Shoes For Men  (Blue, Orange)",4.1,Men,999
Women Red Heels Sandal,3.7,Women,605
STRIDE SLIP ON Walking Shoes For Men  (Grey),4.3,Men,3599
Flip Flops,3.7,Men,1497
Womens Ethnic Sky Blue Fabric Boots Casuals For Women  (Blue),4,Women,499
Lina Flower Women Black Shoes Bellies For Women  (Black),3.5,Women,2495
Derby For Men  (Tan),3.9,Men,1999
"Jio-13 Running Shoes For Men  (Red, Green)",4.1,Men,599
Flip Flops,3.8,Men,999
Women Pink Wedges Sandal,3.8,Women,699
Slides,3.6,Men,998
Neil Slip On Sneakers For Men  (Navy),4.3,Men,699
Ft-805 Slip On For Women  (Red),4.1,Women,499
Jutis For Women  (Pink),3.5,Women,2395
"Punjabi Silk Ethnic Mojari, Juti, Bellies, Morpankh Design for Woman & Girl Bellies For Women  (Black)",4.2,Women,411
New Trendy Fashionable And Comfortable 3 Combo Sneakers Partywear Shoes Casual wear Sneakers For Women And Girls Sneakers For Women  (Multicolor),4,Women,1497
"Latest Stylish Design-Modern Look Casual Moccasins for Women's & Girl's Latest | Fashionable Slip on Loafer, Office-Home Comfort Wear & Lightweight Loafers For Women  (Grey)",,Women,999
"Casual Shoes for Women's & Girl's| Latest Stylish Knitted Fabric Socks Shoes| EVA Lightweight Sole shoes for Running, Walking, Gym, Sports & Daily wear Walking Shoes For Women  (Maroon)",3.8,Women,856
"Skypy-31 Walking Shoes,Training Shoes,Sneakers,Loafers,Canvas Shoes,Casual Shoes,Sneakers Casuals For Men  (Grey, Green)",4,Men,599
"Mocassin, Casuals, Party Wear Loafers For Men  (Black)",3.9,Men,999
Boots For Women  (Black),4.5,Women,999
Women Black Flats Sandal,4.1,Women,999
Flip Flops,3.7,Men,999
Women Pink Bellies Sandal,4.1,Women,999
Casuals For Men  (Yellow),4.1,Men,999
Running Shoes For Men  (Green),4.1,Men,999
Slides,3.9,Men,499
Casual Shoes Sneakers For Men  (Grey),3.8,Men,499
Synthetic Leather Casual Partywear New Stylish High Heels Shoes For Womens And Girls Boots For Women  (Pink),4.1,Women,999
Women Red Wedges Sandal,3.8,Women,599
Women Grey Flats Sandal,,Women,999
"Elasto-02 Grey Black Running Shoes For Women  (Grey, Black)",4.2,Women,1499
Women Pink Bellies Sandal,4.1,Women,999
Flip Flops,4.2,Men,2995
